,year,ch4_emissions_tg,n2o_emissions_tg,c_emissions_pg,co2_concentration_ppm,ch4_concentration_ppb,n2o_concentration_ppb,co2_forcing_wm2,ch4_forcing_wm2,n2o_forcing_wm2,total_forcing_wm2
506,2271,907.1017,20.96485585778539,2.0929933000000003,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
507,2272,907.2138,20.96485585778539,2.09012,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
508,2273,907.3259,20.96485585778539,2.0872467,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
509,2274,907.438,20.96485585778539,2.0843733,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
510,2275,907.5501,20.96485585778539,2.0815,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
511,2276,907.6505400000001,20.96485585778539,2.078004,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
512,2277,907.75098,20.96485585778539,2.0745080000000002,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
513,2278,907.85142,20.96485585778539,2.071012,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
514,2279,907.95186,20.96485585778539,2.067516,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
515,2280,908.0523,20.96485585778539,2.06402,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
516,2281,908.15274,20.96485585778539,2.060524,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
517,2282,908.25318,20.96485585778539,2.057028,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
518,2283,908.35362,20.96485585778539,2.053532,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
519,2284,908.4540599999999,20.96485585778539,2.050036,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
520,2285,908.5545,20.96485585778539,2.0465400000000002,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
521,2286,908.65494,20.96485585778539,2.043044,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
522,2287,908.7553800000001,20.96485585778539,2.039548,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
523,2288,908.8558199999999,20.96485585778539,2.036052,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
524,2289,908.9562599999999,20.96485585778539,2.032556,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
525,2290,909.0567,20.96485585778539,2.02906,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
526,2291,909.15714,20.96485585778539,2.025564,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
527,2292,909.2575800000001,20.96485585778539,2.022068,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
528,2293,909.3580199999999,20.96485585778539,2.0185720000000003,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
529,2294,909.45846,20.96485585778539,2.0150759999999996,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
530,2295,909.5589,20.96485585778539,2.01158,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
